School,Students,Home State,School State
Amherst,Spencer Will,New York,Massachusetts
Amherst,Max Youssefnia,Washington,Massachusetts
Amherst,Dylan Hsu,Maryland,Massachusetts
Amherst,Bob Gross,Maryland,Massachusetts
Amherst,Mike Hanlon,Massachusetts,Massachusetts
Amherst,Brendan Reilly,New York,Massachusetts
Amherst,Joshua Scott,California,Massachusetts
Amherst,Brayden Stroh,California,Massachusetts
Amherst,Oscar Smink,Maryland,Massachusetts
Amherst,Mitch Likins,California,Massachusetts
Amherst,Nico Berger,Massachusetts,Massachusetts
Amherst,Andrew Hahm,Massachusetts,Massachusetts
Amherst,Jack Neiger,California,Massachusetts
Amherst,Willie Doyle,New Jersey,Massachusetts
Amherst,Mason Chandler,Washington,Massachusetts
Amherst,Devon Christian,North Carolina,Massachusetts
Amherst,Brooks Catlin,Colorado,Massachusetts
Amherst,Carter Cave,Vermont,Massachusetts
Amherst,Nicholas Kopp,Maryland,Massachusetts
Amherst,Luciano Chadha,Pennsylvania,Massachusetts
Amherst,Matthew Sheinberg,Connecticut,Massachusetts
Amherst,Alex Vlacich,Massachusetts,Massachusetts
Amherst,Lawson Laverty,Virginia,Massachusetts
Amherst,Steve Crawford II,Georgia,Massachusetts
Amherst,Rob Williamson,Texas,Massachusetts
Amherst,Jacob Bruno,New York,Massachusetts
Amherst,Sam Schafer,Michigan,Massachusetts
Amherst,Alex Giacobbe,New York,Massachusetts
Amherst,Shafeek Halabi,Michigan,Massachusetts
Amherst,Sam Sneider,Michigan,Massachusetts
Amherst,Ben Wick,Connecticut,Massachusetts
Amherst,Tim Souza,Massachusetts,Massachusetts
Amherst,Ayden Santi-Tillotson,Utah,Massachusetts
Amherst,Owen Gaydos,Connecticut,Massachusetts
Amherst,Bennett Chow,Chicago,Massachusetts
Amherst,Michael Li,Connecticut,Massachusetts
Amherst,Pat Arnold,New York,Massachusetts
Amherst,Noah Chappell,New York,Massachusetts
Amherst,Jordan Gangaram,New York,Massachusetts
Amherst,Thompson Lau,Pennsylvania,Massachusetts
Amherst,Patrick Leder,New York,Massachusetts
Amherst,Ben Steingass,New York,Massachusetts
Amherst,Ben Bruno,New York,Massachusetts
Amherst,Peter Koren,California,Massachusetts
Amherst,Sam Gerber,Pennsylvania,Massachusetts
Amherst,Braden Poon,California,Massachusetts
Bates,Andrew Toland       ,Massachusetts,Maine
Bates,TJ Underhill       ,California,Maine
Bates,Connor Hartman      ,Massachusetts,Maine
Bates,Quinn Berry         ,Vermont,Maine
Bates,Denim Evans,Maryland,Maine
Bates,Johnny Nunez         ,New York,Maine
Bates,Ben Miller          ,New York,Maine
Bates,Sam Scola           ,California,Maine
Bates,Javi Werner         ,Massachusetts,Maine
Bates,Rye Kushner         ,California,Maine
Bates,Benjamin Kondner    ,Maryland,Maine
Bates,Riley McClure       ,Massachusetts,Maine
Bates,Morgan Ruppenstein  ,Connecticut,Maine
Bates,Colton Curtis       ,North Carolina,Maine
Bates,Jake Anastas       ,Maine,Maine
Bates,Luke Breen          ,New Hampshire,Maine
Bates,Liam Rule           ,Washington,Maine
Bates,Drew McClutchy      ,Massachusetts,Maine
Bates,Jack Markert        ,Virginia,Maine
Bates,Graham Ray,Massachusetts,Maine
Bates,Aidan Cunningham    ,New York,Maine
Bates,Jack Morrison      ,Vermont,Maine
Bates,Teddy Rosen         ,Connecticut,Maine
Bates,Kevin Burke        ,Maine,Maine
Bates,Colin Eaton         ,Massachusetts,Maine
Bates,Jameson Eigel       ,Chicago,Maine
Bates,Cooper Lance        ,California,Maine
Bates,Mason Proutt        ,Maryland,Maine
Bates,Finn Gibons,Rhode Island,Maine
Bates,Dane Jones          ,New York,Maine
Bates,Tyler Chang         ,New York,Maine
Bates,Gray Doyle          ,New Jersey,Maine
Bates,Andrew Sullivan     ,Arizona,Maine
Bates,Nolan Deehan        ,New York,Maine
Bates,Jacob Kodjababian   ,Washington,Maine
Bates,Brian Hart          ,Georgia,Maine
Bates,Drew Nyhus          ,Oregon,Maine
Bates,Roan Hopkins        ,Maine,Maine
Bates,Max Kosicki         ,Massachusetts,Maine
Bates,Jack  Wright        ,Massachusetts,Maine
Bates,Denzel Evans        ,Maryland,Maine
Bates,Luke Heafey         ,California,Maine
Bates,Grant Strohmaier    ,North Carolina,Maine
Bates,Eddie Lin           ,California,Maine
Bates,Jack Goldbach       ,New Jersey,Maine
Bates,Xander Frey         ,Maryland,Maine
Bates,Lucas Braun,Virginia,Maine
Bates,Max Galvin,Massachusetts,Maine
Bowdoin,Chris Berry         ,Maryland,Maine
Bowdoin,Patrick Fitzgerald  ,Maryland,Maine
Bowdoin,Alex Byrne          ,Connecticut,Maine
Bowdoin,Jed Hoggard         ,Massachusetts,Maine
Bowdoin,Peter Flannery      ,Maryland,Maine
Bowdoin,Troy Ulisney        ,Maryland,Maine
Bowdoin,Michael Norton      ,Connecticut,Maine
Bowdoin,Sam Raye-Steiner    ,Massachusetts,Maine
Bowdoin,Will Lesko          ,Pennsylvania,Maine
Bowdoin,Kevin Sandor        ,Connecticut,Maine
Bowdoin,Jack Pyne           ,Massachusetts,Maine
Bowdoin,Alex Choi,New York,Maine
Bowdoin,Cormac Walsh        ,Massachusetts,Maine
Bowdoin,Jason Lach          ,"Washington, D.C.",Maine
Bowdoin,Noah Jones          ,Maryland,Maine
Bowdoin,Cam Wietfeldt,Massachusetts,Maine
Bowdoin,Emre Andican        ,New Jersey,Maine
Bowdoin,AJ McBorrough       ,Colorado,Maine
Bowdoin,Patrick Albers      ,Massachusetts,Maine
Bowdoin,Hayes McCarron      ,Massachusetts,Maine
Bowdoin,Beau Burns,"Washington, D.C.",Maine
Bowdoin,Colin Campbell      ,Maine,Maine
Bowdoin,Luke Harrington,Colorado,Maine
Bowdoin,Nico Schermer       ,Maryland,Maine
Bowdoin,Brooks Kitchel,Maryland,Maine
Bowdoin,Pierson Delcristo   ,Connecticut,Maine
Bowdoin,Luke Bernasek       ,Virginia,Maine
Bowdoin,Avery Kirby         ,New Jersey,Maine
Bowdoin,Jameson Lang        ,Arkansas,Maine
Bowdoin,Will Childs        ,Spain,Maine
Bowdoin,Grayson Moniz       ,California,Maine
Bowdoin,Ryan Winters        ,Massachusetts,Maine
Bowdoin,Xander Cardia       ,Connecticut,Maine
Bowdoin,Alec Davis          ,New York,Maine
Bowdoin,Hudson Greene       ,Virginia,Maine
Bowdoin,Nico Conway         ,California,Maine
Bowdoin,Alec Delgado        ,New Jersey,Maine
Bowdoin,Matthew Fierro      ,Wyoming,Maine
Bowdoin,Casey Ryan          ,California,Maine
Bowdoin,Liam Ford           ,Massachusetts,Maine
Bowdoin,Gordon Gozdeck      ,Massachusetts,Maine
Bowdoin,Alex Kenerson       ,Connecticut,Maine
Bowdoin,Robert Hobbs        ,Pennsylvania,Maine
Bowdoin,Harry Millspaugh    ,Maine,Maine
Bowdoin,Aidan Reidy         ,Massachusetts,Maine
Bowdoin,Isaac Abbott        ,Colorado,Maine
Bowdoin,Huck Trafton ,Maine,Maine
Colby,Will Heisler        ,Connecticut,Maine
Colby,Cormac O'Neill      ,Minnesota,Maine
Colby,Cormac Wright       ,Massachusetts,Maine
Colby,Will Bainbridge     ,New York,Maine
Colby,Zac Landon          ,Massachusetts,Maine
Colby,Carter Smith        ,Massachusetts,Maine
Colby,Luke Lombardo       ,Connecticut,Maine
Colby,Bennett Goller      ,California,Maine
Colby,Isaac Kante         ,New York,Maine
Colby,Ethan Taerstein     ,New York,Maine
Colby,Evan DeVita         ,Connecticut,Maine
Colby,Chris Maichin       ,New York,Maine
Colby,Brooks Rayment      ,Massachusetts,Maine
Colby,Kyle Skop,New York,Maine
Colby,August Thorne       ,Colorado,Maine
Colby,Ryan Lord           ,Connecticut,Maine
Colby,Easton Bello        ,Chicago,Maine
Colby,Jonathan Davis      ,Vermont,Maine
Colby,Will  Rickards      ,Massachusetts,Maine
Colby,Gavin Rothenberg    ,Connecticut,Maine
Colby,Hayden Critchell    ,Connecticut,Maine
Colby,Thomas Moreau       ,Wisconsin,Maine
Colby,Trevor Pettibone    ,Pennsylvania,Maine
Colby,Sean McGrath        ,New York,Maine
Colby,Jack Sherman        ,Massachusetts,Maine
Colby,Tidiane Gakou       ,New York,Maine
Colby,Harrison Leenhouts  ,California,Maine
Colby,Tristan Bassett,California,Maine
Colby,Kevin Ewanich       ,Massachusetts,Maine
Colby,Nick Sokolosky      ,Massachusetts,Maine
Colby,Preston Maze        ,New York,Maine
Colby,William Flannery    ,Georgia,Maine
Colby,Thacher McCoy       ,Pennsylvania,Maine
Colby,Nick Hoy            ,Maine,Maine
Colby,Quinn Coughlan      ,Maryland,Maine
Colby,Matthew George      ,Massachusetts,Maine
Colby,Max Proia           ,Massachusetts,Maine
Colby,Will Steele         ,Chicago,Maine
Colby,Matt Stein          ,Connecticut,Maine
Colby,Niklas Kindbom      ,Canada,Maine
Colby,Joe McCormack       ,Washington,Maine
Colby,Jojo Samluk         ,California,Maine
Colby,Reilly Pablo        ,Maryland,Maine
Colby,Matt Murer          ,Maine,Maine
Colby,Brian Bowler        ,Colorado,Maine
Colby,Matthew Torrey      ,Massachusetts,Maine
Colby,Justin Turley,Pennsylvania,Maine
Colby,Jackson Alvord      ,Connecticut,Maine
Colby,Luke Laferriere     ,Connecticut,Maine
Colby,Carson Ahola        ,Massachusetts,Maine
Colby,Connor Storie,Arizona,Maine
Connecticut,Nick McLaughlin,Massachusetts,Connecticut
Connecticut,Josh Kozub,Massachusetts,Connecticut
Connecticut,Chris Travers,California,Connecticut
Connecticut,Isaiah Kozub,Massachusetts,Connecticut
Connecticut,Daniel Smith,Rhode Island,Connecticut
Connecticut,Zach Bucher,New Jersey,Connecticut
Connecticut,Declan Kuhn,Connecticut,Connecticut
Connecticut,Mike Delhome,Massachusetts,Connecticut
Connecticut,Michael Moran,South Carolina,Connecticut
Connecticut,Jack Anglim,Connecticut,Connecticut
Connecticut,Liam Schwartz,New Jersey,Connecticut
Connecticut,Graydon Diamond,Connecticut,Connecticut
Connecticut,Aidan Gaudet,Connecticut,Connecticut
Connecticut,Gus Williams,Vermont,Connecticut
Connecticut,JJ Ford,Connecticut,Connecticut
Connecticut,Will Zaslow,Connecticut,Connecticut
Connecticut,Andrew Rainvillie,Connecticut,Connecticut
Connecticut,Sam Harley,Nevada,Connecticut
Connecticut,Conor Matthews,New York,Connecticut
Connecticut,Chris Latchford,Maryland,Connecticut
Connecticut,Dylan McGuirk,Massachusetts,Connecticut
Connecticut,Cole Ronan,New York,Connecticut
Connecticut,Becan O'Brien,Massachusetts,Connecticut
Connecticut,Colter Lingelbach-Pierce,New Hampshire,Connecticut
Connecticut,Patrick Atkins,Massachusetts,Connecticut
Connecticut,Nate Elkin,Virginia,Connecticut
Connecticut,James Brennan,Massachusetts,Connecticut
Connecticut,Liam Doyle,Connecticut,Connecticut
Connecticut,Sean McCarthy,Massachusetts,Connecticut
Connecticut,Will Vivian,New York,Connecticut
Connecticut,Kurt Schillinger,Massachusetts,Connecticut
Connecticut,Trevor Perkins,Massachusetts,Connecticut
Connecticut,Connor Devir,New Jersey,Connecticut
Connecticut,Brayden Warde,Maine,Connecticut
Connecticut,Cade McAdams,Massachusetts,Connecticut
Connecticut,Grady Brandstatter,South Carolina,Connecticut
Connecticut,Lorenzo Vogliano,New York,Connecticut
Connecticut,Liam Horkan,Massachusetts,Connecticut
Connecticut,Sean Horkan,Massachusetts,Connecticut
Connecticut,Peyton Gray,Vermont,Connecticut
Connecticut,Aidan Shea,Massachusetts,Connecticut
Connecticut,Jack Halpin,California,Connecticut
Connecticut,Ethan Cotler,New York,Connecticut
Connecticut,Ryna Breheny,Massachusetts,Connecticut
Connecticut,Myles Newport,Ontario,Connecticut
Connecticut,Cooper Growney,Connecticut,Connecticut
Connecticut,Liam Doherty,Massachusetts,Connecticut
Connecticut,John Elliopulos,Massachusetts,Connecticut
Connecticut,Brendan Tartaglione,New Jersey,Connecticut
Connecticut,Aidan McAvoy,North Carolina,Connecticut
Connecticut,Aidan Valeiko,New York,Connecticut
Connecticut,Carmelo Higgins,California,Connecticut
Connecticut,Liam Fallon,Colorado,Connecticut
Connecticut,Patrick Hogan ,New Jersey,Connecticut
Connecticut,Louie Varadi,Massachusetts,Connecticut
Connecticut,Austin Moore,Massachusetts,Connecticut
Connecticut,Ryan Frank,Maryland,Connecticut
Connecticut,Noah Macielag,Maryland,Connecticut
Connecticut,Henry Dumler,Washington,Connecticut
Connecticut,Hayden Carpenter,Maryland,Connecticut
Connecticut,Jimmy Carlin,Rhode Island,Connecticut
Connecticut,Kiran Singh-Andrews,New Jersey,Connecticut
Connecticut,Joey DeMarzo,New Jersey,Connecticut
Connecticut,Braeden Saunders,Connecticut,Connecticut
Middlebury,Henry Tarr,Pennsylvania,Vermont
Middlebury,Drew Dummer,Massachusetts,Vermont
Middlebury,Logan White,Colorado,Vermont
Middlebury,Charlie O'Connor,New York,Vermont
Middlebury,Aidan Dever,Massachusetts,Vermont
Middlebury,Will Spehr,New York,Vermont
Middlebury,Jackson Hanson,Texas,Vermont
Middlebury,Peyton Jordan,Washington,Vermont
Middlebury,Misha Trupo,Texas,Vermont
Middlebury,Finn McCarthy,Georgia,Vermont
Middlebury,Brendan Hickey,Delaware,Vermont
Middlebury,Nick Marvin,California,Vermont
Middlebury,Cole Foster,New Jersey,Vermont
Middlebury,Billy Curtis,Massachusetts,Vermont
Middlebury,Hayden Kern,Texas,Vermont
Middlebury,Nate Holliday,New Jersey,Vermont
Middlebury,Ryan McGloin,New York,Vermont
Middlebury,Bryan Henry,Pennsylvania,Vermont
Middlebury,Garret Hawthorne,California,Vermont
Middlebury,James Farinacci,New Jersey,Vermont
Middlebury,Nate Ruoss,Delaware,Vermont
Middlebury,John McCarthy,New York,Vermont
Middlebury,AJ Noyes,Maine,Vermont
